Decentralized Stochastic Optimal Power Flow Problem Considering Prohibited Operating Zones and Renewables Sources

Authors: Lucas do Carmo Yamaguti (lucas.yamaguti@unesp.br), Juan M. Home-Ortiz (juan.home@unesp.br), 
Mahdi Pourakbari-Kasmaei (mahdi.pourakbari@aalto.fi), Senior Member, IEEE, and José Roberto Sanches Mantovani 
(mant@dee.feis.unesp.br), Member, IEEE.

-- UNDER REVIEW --


 SS			ALL_GEN_COST				  TG_COST				 HG_COST				 WG_COST				 PV_COST			 PLOSS_COST				 GHG_COST				  QLOSS	
 
  1   5432252.8745678393	(  2702608.9245437495	  2140825.6161148185	   554098.6943914040	    34719.6395178672)     727815.6573756235   14281912.2895077299     -52081.6126804888
  2   1994882.4663865750	(   887131.2440824379	   753106.7681044273	   287795.0662907049	    66849.3879090048)     331431.5457847037    5031095.1961360741     -15853.4826090946
  3  11073757.2564516664	(  6056090.5206916267	  3937741.7863775617	  1072947.6093824790	    6977.33999999892)    1318921.3817657370   30340021.5928471088    -102571.6137001684
  4  10977339.6626345534	(  8093703.8059264291	   797224.2673641577	   709003.2761948853	    1377408.31314908)     298291.2945501507   49854846.9882990420     -90902.8605420009
  5   2726352.1476023402	(  1243658.7722926305	   883072.0868886468	   396569.6935941831	    203051.594826880)     277311.8117483560    5693044.7070176350     -28371.5251057669  
  6  20613762.6451638676	( 16746828.4422916379	  1850970.5555097391	  2006660.5273624912	    9303.11999999941)     983443.8538781551   14281921.9062500000    -165759.3122859172  
  7   8791862.0213688873	(  6707246.7510046382	   790223.1821417311	     4257.3600000000	    1290134.72822252)     240984.7886887694   45295312.1634535044     -68209.7707166833
  8   2172233.3593169576	(  1284189.5862850677	   741648.5716664894	     1561.0320000000	    144834.169365401)     276508.4193666404    7474073.0894799391     -17730.1705881222 
  9  16632578.1195710674	( 14656215.7761577908	  1961012.1954132759	     8372.8080000000	    6977.34000000074)     628603.1596528729   81672451.4021512717    -126580.1859377520 
 10  10440221.9654034432	(  6984154.4027991248	   963580.1616710530	   885171.1358006572	    1607316.26513261)     309630.3070991010   33228252.7134124637     -90099.9195299529 
 11   3512176.6330936635	(  2333807.3191283545	   417136.7204505274	   304235.8190774664	    456996.774437315)     118635.6295091793   12046234.2974512149     -34657.8989550949 
 12  18103154.3474484198	( 13496697.7916009091	  2596645.9401842314	  2000507.4956632787	    9303.12000000058)     845409.3647520429   70717699.9033985585    -176898.8715648719 
 13   9562550.7499610633	(  4997992.3382139187	  3593938.8755949168	   820616.3816771269	    150003.154475101)    1203698.7753097757   27313258.3831799813     -90603.0022368593 
 14   3448837.1952960426	(  1752418.6102237788	  1384915.9712919078	   279082.1474061807	    32420.4663741753)     459682.3945852262    9138683.9992404953     -31825.9906342669 
 15  18356286.8895625733	(  9364248.3036560174	  7573509.1431283075	  1406125.2827782475	    12404.1600000008)    2529930.6670454005   48363562.6122452542    -171973.4238012765 
 16   7171137.2484380426	(  4109489.0203833128	  2887198.8271040097	     5676.4800000000	    168772.920950720)    1059163.3872072108   25211494.5687754974     -61804.4499071411 
 17   2496213.3990053441	(  1225090.6699691503	  1071029.8319364572	     2081.3760000000	    198011.521099737)     422824.4984062061   13235777.4136447366     -20488.9275424187 
 18  14039978.5329847932	(  8341878.5230166921	  5677633.1459681001	    11163.7440000000	    9303.12000000099)    2137555.1646354510   52954099.2037025839    -124285.8028320745 
 19   4579210.2197915232	(  1313953.3490748107	  2141449.6733389432	  1046777.2456388148	    77029.9517389545)     850902.3444893272    4228011.6851705927     -43387.0567346891 
 20   1884698.7548349327	(   978465.5166739027	   788471.3496544836	   116460.9849206914	    1300.90358585499)     258702.4611615796    5009625.7864371371     -18271.2284694146 
 21  10095039.5399438031	(  5207937.5899031404	  4254503.7035088381	   625620.9065318238	    6977.34000000078)    1417892.2586307621   26234549.4300564677     -96011.9234851335 
 22   6259821.5132165952	(  2023672.8878983338	  2695932.8282932313	  1340421.0218677584	    199794.775157271)     977679.3083016650    6793422.8336557616     -65682.8562109076 
 23   2442768.0764206573	(  1171340.6006103905	  1052143.2416951321	   212647.0936286167	    6637.14048651798)     353255.8365617776    6170778.9749312811     -23660.4018018414 
